,stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation,spray_angle,team_abv
0,Angel Stadium,Los Angeles Angels,angels,LAA,-245.69442266919052,264.87664362521014,361.282971739471,outfield_outer,-32.1,5.0,NE,-42.84840211428095,LAA
1,Angel Stadium,Los Angeles Angels,angels,LAA,-239.40979247228552,278.37375605707365,367.16344697279703,outfield_outer,-30.5,5.0,NE,-40.696520417670364,LAA
2,Angel Stadium,Los Angeles Angels,angels,LAA,-229.63628413271363,289.7141867313982,369.6851809089943,outfield_outer,-28.8,5.0,NE,-38.40141492865786,LAA
3,Angel Stadium,Los Angeles Angels,angels,LAA,-219.4177675353718,300.6995334162334,372.24234862109245,outfield_outer,-27.1,8.0,NE,-36.11789585552491,LAA
4,Angel Stadium,Los Angeles Angels,angels,LAA,-209.13024124047956,311.62032683525706,375.2901356260428,outfield_outer,-25.4,8.0,NE,-33.86579510072482,LAA
5,Angel Stadium,Los Angeles Angels,angels,LAA,-198.7641186756749,322.46646603379025,378.8031105854853,outfield_outer,-23.7,8.0,NE,-31.649138155217816,LAA
6,Angel Stadium,Los Angeles Angels,angels,LAA,-188.4451837275506,333.3573719743964,382.934360850246,outfield_outer,-22.1,8.0,NE,-29.47924955707017,LAA
7,Angel Stadium,Los Angeles Angels,angels,LAA,-178.19112755312906,344.30952343342074,387.6868915318195,outfield_outer,-20.5,8.0,NE,-27.363001951812972,LAA
8,Angel Stadium,Los Angeles Angels,angels,LAA,-167.93083783489553,355.25573252070967,392.94707249800956,outfield_outer,-19.0,8.0,NE,-25.300292966729227,LAA
9,Angel Stadium,Los Angeles Angels,angels,LAA,-156.49479748327454,364.55628899257914,396.7264920362289,outfield_outer,-17.4,8.0,NE,-23.2326245179708,LAA
10,Angel Stadium,Los Angeles Angels,angels,LAA,-141.99930033838575,368.42452626540364,394.8422885792227,outfield_outer,-15.8,8.0,NE,-21.077811973896235,LAA
11,Angel Stadium,Los Angeles Angels,angels,LAA,-127.4979454671677,372.27043859847043,393.498418742244,outfield_outer,-14.2,8.0,NE,-18.905687396288318,LAA
12,Angel Stadium,Los Angeles Angels,angels,LAA,-113.03330395889682,376.2538079718497,392.86569692094764,outfield_outer,-12.5,8.0,NE,-16.72119813165137,LAA
13,Angel Stadium,Los Angeles Angels,angels,LAA,-98.55889520749248,380.2013866330811,392.76831621483814,outfield_outer,-10.9,8.0,NE,-14.53278392855436,LAA
14,Angel Stadium,Los Angeles Angels,angels,LAA,-84.10096433402585,384.20960588516084,393.3064879408217,outfield_outer,-9.3,8.0,NE,-12.34693052835982,LAA
15,Angel Stadium,Los Angeles Angels,angels,LAA,-69.59850718503276,388.0534538822638,394.2453998112588,outfield_outer,-7.6,8.0,NE,-10.168056408434014,LAA
16,Angel Stadium,Los Angeles Angels,angels,LAA,-55.12235286260027,391.995347075404,395.8520252744395,outfield_outer,-6.0,8.0,NE,-8.004443226158791,LAA
