"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
35,592450,"Judge, Aaron","2022-07-08",663202,35,100,0,0,0,0,0.115,0.174,0.077,0,5,88.1,-5.5,2125,86.2,86.23,5,16,19,0,6.23,101,152,127,149,286,327,307,"1","-1"
33,592450,"Judge, Aaron","2022-09-27",661778,33,100,0,0,0,0,0.551,0.68,0.703,0,1,96.8,10,2200,91.1,90.6,3,10,23,-0.5,6.09,103,155,122,146,318,332,301,"-1.2","1.2"
32,592450,"Judge, Aaron","2022-07-30",661255,32,100,0.667,1,0.5,1.667,0.867,0.653,0.479,2,3,97.5,20.7,2458,88.4,88.34,3,11,21,-0.10000000000000853,6.34,95,155,130,149,316,335,311,"-2.5","2.5"
32,592450,"Judge, Aaron","2022-09-09",661234,32,100,0.5,0,1,0.5,0.491,0.388,0.31,2,4,93.9,17.5,2494,91.2,91.33,5,15,17,0.09999999999999432,6.35,94,152,114,145,317,338,300,"-0.9","0.9"
31,592450,"Judge, Aaron","2022-04-10",661316,31,100,0.4,0,0.667,0.4,0.354,0.187,0.161,2,5,88.6,17.7,2375,91.4,91.11,4,15,16,-0.30000000000001137,6.35,99,151,120,148,303,336,288,"-0.4","0.4"
30,592450,"Judge, Aaron","2022-06-07",661693,30,100,0.4,0.6,0.5,1,0.591,0.583,0.398,2,5,108.9,11,2241,86.5,85.67,2,11,19,-0.7999999999999972,5.68,104,152,122,145,300,334,290,"-1.2","1.2"
29,592450,"Judge, Aaron","2022-07-31",661254,29,100,0,0,0,0,0.275,0.312,0.065,0,3,85.1,18,2269,87.7,87.82,2,11,18,0.09999999999999432,6.26,99,156,126,146,328,340,309,"-0.2","0.2"
29,592450,"Judge, Aaron","2022-05-03",661796,29,100,0.4,0.8,1,1.2,0.667,0.626,0.357,2,5,112.7,21.5,2291,88.9,88.89,4,11,18,0,6.6,92,150,124,146,315,328,298,"-1.4","1.4"
27,592450,"Judge, Aaron","2022-06-19",661741,27,100,0.25,0.25,0.5,0.5,0.39,0.428,0.303,1,4,104.5,18,2192,89.5,89.64,4,12,15,0.09999999999999432,6.77,116,152,130,149,322,327,298,"-0.8","0.8"
26,592450,"Judge, Aaron","2022-09-22",661243,26,100,0,0,0,0,0.413,0.763,0.42,0,2,113,35,2090,89.5,90.07,4,9,17,0.5999999999999943,6.75,111,152,122,148,307,336,293,"-0.4","0.4"
26,592450,"Judge, Aaron","2022-05-12",661519,26,100,0.5,0.75,0.5,1.25,0.607,0.535,0.267,2,4,96.7,10,2427,90.9,91.03,5,10,16,0.09999999999999432,6.27,116,152,119,146,307,323,302,"-1.6","1.6"
26,592450,"Judge, Aaron","2022-05-31",661331,26,100,0,0,0,0,0.138,0.169,0.053,0,3,93.5,-3.7,1904,87.2,86.76,3,12,14,-0.4000000000000057,5.89,107,148,121,140,298,335,288,"1.5","-1.5"
25,592450,"Judge, Aaron","2022-08-12",663177,25,100,0.5,1.5,,2,0.834,0.822,0.483,1,2,113.8,31,2131,89.9,90.66,2,7,18,0.7999999999999972,6.9,113,153,125,151,287,328,298,"-1.8","1.8"
25,592450,"Judge, Aaron","2022-08-09",662148,25,100,0.333,0,0.5,0.333,0.393,0.549,0.483,1,3,102.2,13.5,2176,91,90.54,7,13,12,-0.5,5.97,116,154,126,146,314,320,286,"-0.5","0.5"
25,592450,"Judge, Aaron","2022-09-16",661164,25,100,0.5,0,0.667,0.5,0.442,0.325,0.349,2,4,83.2,-10.7,2270,89.3,89.2,2,12,13,-0.09999999999999432,6.38,106,153,120,146,300,319,301,"-0.8","0.8"
25,592450,"Judge, Aaron","2022-06-28",661272,25,100,0,0,0,0,0,0.004,0.004,0,4,90.5,54,2060,90.1,89.78,4,10,15,-0.29999999999999716,6.02,103,154,119,148,318,328,297,"1","-1"
25,592450,"Judge, Aaron","2022-07-21",662775,25,100,0.25,0.75,,1,0.552,0.511,0.224,1,4,111,33,2357,89.4,88.48,6,10,15,-0.9000000000000057,5.99,105,154,118,143,297,332,292,"-1.5","1.5"
25,592450,"Judge, Aaron","2022-05-04",661795,25,100,0,0,,0,0.172,0.172,,0,3,,,2146,90.4,90.79,2,7,18,0.3999999999999915,6.61,100,147,121,139,323,332,296,"0.6","-0.6"
25,592450,"Judge, Aaron","2022-04-26",661309,25,100,0.4,0.6,0.5,1,0.591,0.264,0.211,2,5,97.9,9.3,2269,86.4,86.78,4,13,12,0.3999999999999915,6.66,98,151,113,139,311,323,285,"-0.7","0.7"
25,592450,"Judge, Aaron","2022-10-01",661217,25,100,0,0,,0,0.42,0.42,,0,2,,,2513,85.7,85.33,4,7,18,-0.4000000000000057,6.28,108,154,124,149,320,328,288,"-0.9","0.9"
