,game_date,hc_x,hc_y,launch_angle,hit_distance_sc,events,pitch_name,player_name,Game_Num
0,2022-10-04,168.33,80.14,43.0,314,field_out,4-Seam Fastball,"Gray, Jon",160
1,2022-10-04,38.02,66.8,35.0,391,home_run,Slider,"Tinoco, Jesus",161
2,2022-09-28,52.2,64.43,22.0,394,home_run,Sinker,"Mayza, Tim",155
3,2022-09-25,90.36,67.13,44.0,338,field_out,Slider,"Bello, Brayan",152
4,2022-09-24,131.74,58.54,43.0,348,field_out,4-Seam Fastball,"Pivetta, Nick",151
5,2022-09-23,73.28,73.21,44.0,337,field_out,Cutter,"Hill, Rich",150
6,2022-09-22,135.05,36.19,35.0,403,field_out,4-Seam Fastball,"Barnes, Matt",149
7,2022-09-21,46.15,118.09,24.0,304,double,Slider,"Contreras, Roansy",148
8,2022-09-20,57.04,38.57,24.0,430,home_run,Sinker,"Crowe, Wil",147
9,2022-09-18,74.13,65.5,19.0,354,double,Curveball,"Kelley, Trevor",146
10,2022-09-18,38.82,41.18,30.0,443,home_run,Slider,"Perdomo, Luis",146
11,2022-09-18,70.68,70.43,16.0,297,single,Sinker,"Perdomo, Luis",146
12,2022-09-18,209.13,53.1,35.0,414,home_run,Sinker,"Alexander, Jason",146
13,2022-09-18,133.21,44.22,16.0,384,field_out,Sinker,"Alexander, Jason",146
14,2022-09-17,192.38,93.25,41.0,310,field_out,4-Seam Fastball,"Woodruff, Brandon",145
15,2022-09-13,35.71,69.57,35.0,389,home_run,Slider,"Whitlock, Garrett",142
16,2022-09-13,184.66,55.55,24.0,383,home_run,Knuckle Curve,"Pivetta, Nick",142
17,2022-09-11,115.13,70.06,37.0,321,sac_fly,Slider,"Patiño, Luis",141
18,2022-09-07,46.6,70.18,28.0,374,home_run,Changeup,"Varland, Louie",136
19,2022-09-07,,,45.0,291,,4-Seam Fastball,"Ryan, Joe",137
20,2022-09-05,15.28,77.03,34.0,404,home_run,Slider,"Megill, Trevor",135
