,Tm,Game_Num,Field,Home_Away
1,LAA,1,LAA,Home
2,LAA,2,LAA,Home
3,LAA,3,LAA,Home
4,LAA,4,LAA,Home
5,LAA,5,LAA,Home
6,LAA,6,LAA,Home
7,LAA,7,TEX,@
8,LAA,8,TEX,@
9,LAA,9,TEX,@
10,LAA,10,TEX,@
11,LAA,11,HOU,@
12,LAA,12,HOU,@
13,LAA,13,HOU,@
14,LAA,14,LAA,Home
15,LAA,15,LAA,Home
16,LAA,16,LAA,Home
17,LAA,17,LAA,Home
18,LAA,18,LAA,Home
19,LAA,19,LAA,Home
20,LAA,20,LAA,Home
21,LAA,21,CHW,@
22,LAA,22,CHW,@
23,LAA,23,CHW,@
24,LAA,24,CHW,@
25,LAA,25,BOS,@
26,LAA,26,BOS,@
27,LAA,27,BOS,@
28,LAA,28,LAA,Home
29,LAA,29,LAA,Home
30,LAA,30,LAA,Home
31,LAA,31,LAA,Home
32,LAA,32,LAA,Home
33,LAA,33,LAA,Home
34,LAA,34,OAK,@
35,LAA,35,OAK,@
36,LAA,36,OAK,@
37,LAA,37,OAK,@
38,LAA,38,TEX,@
39,LAA,39,TEX,@
40,LAA,40,TEX,@
41,LAA,41,LAA,Home
42,LAA,42,LAA,Home
43,LAA,43,LAA,Home
44,LAA,44,LAA,Home
45,LAA,45,LAA,Home
46,LAA,46,LAA,Home
47,LAA,47,LAA,Home
48,LAA,48,LAA,Home
49,LAA,49,LAA,Home
50,LAA,50,NYY,@
51,LAA,51,NYY,@
52,LAA,52,NYY,@
53,LAA,53,PHI,@
54,LAA,54,PHI,@
55,LAA,55,PHI,@
56,LAA,56,LAA,Home
57,LAA,57,LAA,Home
58,LAA,58,LAA,Home
59,LAA,59,LAA,Home
60,LAA,60,LAA,Home
61,LAA,61,LAA,Home
62,LAA,62,LAA,Home
63,LAA,63,LAD,@
64,LAA,64,LAD,@
65,LAA,65,SEA,@
66,LAA,66,SEA,@
67,LAA,67,SEA,@
68,LAA,68,SEA,@
69,LAA,69,SEA,@
70,LAA,70,LAA,Home
71,LAA,71,LAA,Home
72,LAA,72,LAA,Home
73,LAA,73,LAA,Home
74,LAA,74,LAA,Home
75,LAA,75,LAA,Home
76,LAA,76,LAA,Home
77,LAA,77,LAA,Home
78,LAA,78,LAA,Home
79,LAA,79,HOU,@
80,LAA,80,HOU,@
81,LAA,81,HOU,@
82,LAA,82,MIA,@
83,LAA,83,MIA,@
84,LAA,84,BAL,@
85,LAA,85,BAL,@
86,LAA,86,BAL,@
87,LAA,87,BAL,@
88,LAA,88,LAA,Home
89,LAA,89,LAA,Home
90,LAA,90,LAA,Home
91,LAA,91,LAA,Home
92,LAA,92,LAA,Home
93,LAA,93,ATL,@
94,LAA,94,ATL,@
95,LAA,95,ATL,@
96,LAA,96,KCR,@
97,LAA,97,KCR,@
98,LAA,98,KCR,@
99,LAA,99,LAA,Home
100,LAA,100,LAA,Home
101,LAA,101,LAA,Home
102,LAA,102,LAA,Home
103,LAA,103,LAA,Home
104,LAA,104,LAA,Home
105,LAA,105,LAA,Home
106,LAA,106,SEA,@
107,LAA,107,SEA,@
108,LAA,108,SEA,@
109,LAA,109,SEA,@
110,LAA,110,OAK,@
111,LAA,111,OAK,@
112,LAA,112,OAK,@
113,LAA,113,LAA,Home
114,LAA,114,LAA,Home
115,LAA,115,LAA,Home
116,LAA,116,LAA,Home
117,LAA,117,LAA,Home
118,LAA,118,LAA,Home
119,LAA,119,DET,@
120,LAA,120,DET,@
121,LAA,121,DET,@
122,LAA,122,TBR,@
123,LAA,123,TBR,@
124,LAA,124,TBR,@
125,LAA,125,TBR,@
126,LAA,126,TOR,@
127,LAA,127,TOR,@
128,LAA,128,TOR,@
129,LAA,129,LAA,Home
130,LAA,130,LAA,Home
131,LAA,131,LAA,Home
132,LAA,132,LAA,Home
133,LAA,133,LAA,Home
134,LAA,134,LAA,Home
135,LAA,135,LAA,Home
136,LAA,136,LAA,Home
137,LAA,137,LAA,Home
138,LAA,138,HOU,@
139,LAA,139,HOU,@
140,LAA,140,HOU,@
141,LAA,141,CLE,@
142,LAA,142,CLE,@
143,LAA,143,CLE,@
144,LAA,144,LAA,Home
145,LAA,145,LAA,Home
146,LAA,146,LAA,Home
147,LAA,147,LAA,Home
148,LAA,148,TEX,@
149,LAA,149,TEX,@
150,LAA,150,TEX,@
151,LAA,151,MIN,@
152,LAA,152,MIN,@
153,LAA,153,MIN,@
154,LAA,154,LAA,Home
155,LAA,155,LAA,Home
156,LAA,156,LAA,Home
157,LAA,157,LAA,Home
158,LAA,158,LAA,Home
159,LAA,159,LAA,Home
160,LAA,160,OAK,@
