,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,year,hc_x_,hc_y_,spray_angle_true,launch_speed_fts,launch_angle_rads,num_homers,MLBID,PLAYERNAME
229259,SL,2022-10-05,82.4,-2.93,3.73,"Schreiber, John",444482,670167,double,hit_into_play,,,,,9.0,David Peralta hits a ground-rule double (30) on a line drive .,R,L,R,BOS,TB,X,,line_drive,1,0,2022,0.92,-0.07,0.28,1.91,,,,1,8,Top,,,,,624512,,,5.5140588544308535,-119.81146461212847,2.5559729416304213,7.678789618908544,24.35124403423259,-33.56460522283806,3.5,1.62,304,100.5,18.0,82.3,2581.0,6.4,663352,670167,624512,671213,624414,666915,644374,501659,571771,657077,54.12,0.411,0.489,1.25,1.0,1.0,1.0,4.0,61,2,Slider,4,3,3,4,3,4,3,4,Infield shift,Standard,71.0,-0.102,0.398,2022,,,,147.4,0.3141592653589793,0,444482.0,David Peralta
230132,FF,2022-10-01,88.8,-1.24,5.99,"Bundy, Dylan",663478,605164,field_out,hit_into_play,,,,,12.0,Brendon Davis flies out to center fielder Mark Contreras.,R,R,R,DET,MIN,X,8.0,fly_ball,2,2,2022,-0.23,1.57,0.59,3.81,,,,0,2,Bot,,,,,596142,,,4.902303248483172,-129.2610633415117,-2.602468593659559,-3.492775650728332,25.1248922649532,-14.156631787308957,3.55,1.63,403,100.0,30.0,88.5,2420.0,5.9,662770,605164,596142,650333,624503,570482,621043,595909,676628,670242,54.56,0.503,0.935,0.0,1.0,0.0,0.0,6.0,16,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,201.0,-0.02,-0.195,2022,,,,146.66666666666666,0.5235987755982988,0,,
231045,SL,2022-09-26,86.6,-2.25,5.94,"Abbott, Cory",621566,676265,home_run,hit_into_play,,,,,2.0,Matt Olson homers (29) on a fly ball to right field.    Austin Riley scores.,R,L,R,WSH,ATL,X,,fly_ball,0,0,2022,-1.03,1.2,-0.02,3.43,,,663586.0,2,4,Top,,,,,656180,,,7.403491730426031,-126.01221451319456,-2.244424553861953,-12.49230057659994,25.11318382249743,-19.099130844535395,3.54,1.68,398,107.6,27.0,86.3,2281.0,6.1,662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,54.43,0.98,2.02,2.0,1.0,0.0,3.0,6.0,24,1,Slider,0,0,0,0,2,0,2,0,Infield shift,Standard,221.0,-0.24,1.88,2022,,,,157.81333333333333,0.4712388980384689,0,621566.0,Matt Olson
234375,FF,2022-09-09,91.6,-2.43,5.79,"Middleton, Keynan",543068,641871,home_run,hit_into_play,,,,,4.0,C.J. Cron homers (27) on a fly ball to left field.   Yonathan Daza scores.,R,R,R,COL,AZ,X,,fly_ball,0,0,2022,-0.34,1.22,-0.28,2.95,,,602074.0,2,4,Bot,,,,,608348,,,6.188712577793189,-133.32898481854238,-4.02422236998103,-5.20745137720655,24.77044940300404,-16.892411772623714,3.74,1.7,504,110.0,37.0,92.7,2307.0,6.6,662870,641871,608348,572233,606466,668942,672695,682998,677950,662139,53.9,0.697,1.439,2.0,1.0,0.0,3.0,6.0,35,1,4-Seam Fastball,6,1,6,1,1,8,8,1,Standard,Standard,224.0,0.034,1.88,2022,,,,161.33333333333334,0.6457718232379019,0,543068.0,C.J. Cron
234395,FF,2022-09-09,93.3,1.18,5.79,"Lynch IV, Daniel",600869,663738,home_run,hit_into_play,,,,,1.0,Jeimer Candelario homers (13) on a fly ball to left field.   Spencer Torkelson scores.    Kerry Carpenter scores.,R,R,L,KC,DET,X,,fly_ball,2,0,2022,0.67,1.11,-0.29,3.1,,679529.0,681481.0,1,2,Top,,,,,521692,,,-5.303897377808412,-135.86592090555746,-3.709885538450048,9.416084977304592,25.880284827084417,-17.75451286781725,3.39,1.65,445,110.7,32.0,94.8,1992.0,6.8,662637,663738,521692,686469,670032,641531,677951,681987,572191,671221,53.68,0.926,1.93,2.0,1.0,0.0,3.0,6.0,12,3,4-Seam Fastball,0,1,1,0,4,0,4,0,Standard,Standard,141.0,-0.2,2.184,2022,,,,162.36,0.5585053606381855,0,600869.0,Jeimer Candelario
235512,SI,2022-09-04,94.4,-2.22,5.82,"Armstrong, Shawn",592450,542888,home_run,hit_into_play,,,,,4.0,Aaron Judge homers (53) on a fly ball to left field.,R,R,R,TB,NYY,X,,fly_ball,1,0,2022,-1.49,0.99,-0.61,2.81,,,,0,1,Top,,,,,542194,,,7.529878443532078,-137.2765299496907,-4.3221265580424495,-20.56293392883615,31.61385929334177,-18.87211682251932,3.98,1.89,450,115.3,30.0,94.5,2250.0,6.5,661853,542888,542194,596847,670623,650490,670764,668227,642350,622534,54.04,0.977,2.025,2.0,1.0,0.0,3.0,6.0,1,2,Sinker,0,0,0,0,1,0,1,0,,Standard,219.0,-0.101,0.967,2022,,,,169.10666666666663,0.5235987755982988,0,592450.0,Aaron Judge
236153,FC,2022-08-31,87.7,2.52,5.53,"Logue, Zach",545121,656657,field_out,hit_into_play,,,,,4.0,Ildemaro Vargas flies out to left fielder Tony Kemp.,R,R,L,WSH,OAK,X,7.0,fly_ball,2,0,2022,0.56,0.82,-0.53,2.35,,,657041.0,2,8,Bot,,,,,669221,,,-8.416991409698914,-127.5108442668746,-3.2095990362011406,7.852227855656209,25.66115928955969,-22.773690775105205,3.22,1.45,313,94.5,40.0,86.6,2418.0,5.6,662465,656657,669221,660650,681146,641914,669397,643393,665506,640461,54.89,0.031,0.044,0.0,1.0,0.0,0.0,3.0,64,3,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,150.0,-0.001,-0.295,2022,,,,138.6,0.6981317007977318,0,545121.0,Ildemaro Vargas
239763,CH,2022-08-13,79.2,2.53,5.34,"Gonzales, Marco",608369,594835,home_run,hit_into_play,,,,,6.0,Corey Seager homers (26) on a fly ball to right field.,R,L,L,TEX,SEA,X,,fly_ball,0,1,2022,1.5,0.76,0.55,2.08,,,,1,5,Bot,,,,,663728,,,-7.13099839105729,-115.09181745190244,-1.660429727959997,14.731326206705624,23.689334784595022,-25.36009487522963,3.41,1.44,416,107.4,31.0,78.7,2105.0,6.3,661790,594835,663728,664034,624428,553993,641487,608385,677594,664059,54.21,0.894,1.864,2.0,1.0,0.0,3.0,6.0,42,2,Changeup,4,3,4,3,3,5,5,3,Infield shift,Standard,106.0,0.114,1.024,2022,,,,157.52,0.5410520681182421,0,608369.0,Corey Seager
240393,CH,2022-08-09,82.0,1.66,5.67,"McFarland, T.J.",641857,519008,home_run,hit_into_play,,,,,9.0,Ryan McMahon homers (11) on a fly ball to center field.   Brendan Rodgers scores.,R,L,L,COL,STL,X,,fly_ball,1,0,2022,0.61,0.41,0.61,1.98,,663898.0,,1,7,Bot,,,,,668800,,,-3.4946097697805825,-119.4300156772639,-2.6139500127714164,6.463320059897351,21.481144137309016,-27.986516918252804,3.57,1.63,495,110.4,33.0,81.1,1567.0,5.5,662979,519008,668800,502671,669242,571448,657557,641933,666185,663457,55.04,0.88,1.832,2.0,1.0,0.0,3.0,6.0,73,2,Changeup,14,5,14,5,5,16,16,5,Infield shift,Standard,102.0,0.0,1.553,2022,,,,161.92,0.5759586531581288,0,641857.0,Ryan McMahon
240570,FF,2022-08-09,91.3,2.98,6.12,"Garrett, Braxton",592663,666129,home_run,hit_into_play,,,,,8.0,J.T. Realmuto homers (13) on a fly ball to left field.,R,R,L,PHI,MIA,X,,fly_ball,1,2,2022,0.95,1.46,-0.2,2.18,,,,0,4,Bot,,,,,607732,,,-10.058243515557376,-132.41800494851805,-7.159273189776225,13.427656745622542,29.83335822441465,-13.540655314094597,3.61,1.67,409,107.7,34.0,91.3,2380.0,6.6,661553,666129,607732,542583,621563,641779,500743,668709,680814,650559,53.9,0.797,1.661,2.0,1.0,0.0,3.0,6.0,31,4,4-Seam Fastball,1,1,1,1,1,2,2,1,Infield shift,Standard,139.0,0.131,1.063,2022,,,,157.96,0.5934119456780721,0,592663.0,J.T. Realmuto
